price,room_type,neighbourhood_cleansed,property_type,accommodates,beds,number_of_reviews,reviews_per_month,last_review,availability_365
,Private room,Greenpoint,Private room in rental unit,1,,3,0.03,2017-05-27,0
,Private room,Bushwick,Private room in loft,2,,57,0.61,2019-02-11,0
$250.00,Private room,Concourse,Private room in condo,2,2.0,188,2.01,2023-07-09,364
$120.00,Private room,Astoria,Private room in rental unit,2,2.0,1,0.07,2023-08-21,365
,Private room,Washington Heights,Private room in rental unit,2,,1,0.01,2017-12-27,0
$150.00,Entire home/apt,Park Slope,Entire townhouse,2,1.0,295,3.19,2024-10-02,166
,Private room,Williamsburg,Private room in rental unit,1,,5,0.05,2017-10-08,0
$65.00,Private room,Mill Basin,Private room in guest suite,2,2.0,83,2.67,2024-09-14,325
$349.00,Private room,Briarwood,Private room in home,2,6.0,15,0.17,2021-11-22,365
$126.00,Entire home/apt,Upper West Side,Entire rental unit,4,2.0,17,0.19,2024-10-04,218
,Private room,Crown Heights,Private room in rental unit,1,,0,,,0
,Private room,Elmhurst,Private room in rental unit,2,,0,,,0
$95.00,Entire home/apt,Crown Heights,Entire rental unit,2,1.0,59,0.67,2024-10-02,53
,Entire home/apt,Harlem,Entire rental unit,2,,22,0.24,2018-03-02,0
$42.00,Private room,South Ozone Park,Private room in home,1,1.0,3,0.04,2023-07-01,308
,Entire home/apt,Williamsburg,Entire rental unit,2,,6,0.07,2018-07-19,0
,Private room,Harlem,Private room in guest suite,8,,0,,,177
$355.00,Private room,Harlem,Private room in townhouse,2,3.0,29,0.32,2024-06-23,300
$65.00,Private room,East Harlem,Private room in rental unit,2,1.0,21,0.25,2020-01-01,55
,Private room,Chelsea,Private room in rental unit,1,,0,,,0
$146.00,Entire home/apt,Gramercy,Entire rental unit,3,2.0,51,0.58,2024-04-30,273
$296.00,Private room,Harlem,Private room in townhouse,2,2.0,22,0.26,2024-10-20,356
$296.00,Private room,Harlem,Private room in townhouse,3,2.0,45,0.49,2024-07-18,320
$89.00,Entire home/apt,Greenpoint,Entire rental unit,3,1.0,20,0.22,2024-09-05,165
$207.00,Entire home/apt,Upper West Side,Entire rental unit,3,3.0,12,0.13,2024-10-07,362
,Private room,Midtown,Private room in rental unit,1,,1,0.01,2017-03-25,89
$95.00,Private room,Bushwick,Private room in loft,2,1.0,24,0.3,2022-05-31,47
,Shared room,Williamsburg,Shared room in rental unit,1,,0,,,0
,Private room,Harlem,Private room in rental unit,2,,18,0.22,2019-08-14,0
,Private room,Morningside Heights,Private room in rental unit,2,,0,,,0
,Private room,Bushwick,Private room in rental unit,2,,0,,,0
,Entire home/apt,Chelsea,Entire rental unit,2,,0,,,0
,Private room,Crown Heights,Private room in rental unit,1,,0,,,0
$189.00,Entire home/apt,Greenpoint,Entire rental unit,4,2.0,164,1.79,2024-10-04,48
$95.00,Private room,Astoria,Private room in home,2,1.0,2,0.16,2024-08-31,154
,Entire home/apt,Upper East Side,Entire rental unit,4,,7,0.08,2017-12-29,0
$70.00,Private room,Crown Heights,Private room in rental unit,2,1.0,44,0.47,2019-11-03,70
,Entire home/apt,SoHo,Entire rental unit,2,,16,0.17,2018-08-25,0
,Entire home/apt,Midtown,Entire rental unit,4,,5,0.06,2017-07-24,0
$98.00,Private room,Canarsie,Private room in home,2,1.0,225,2.67,2024-10-26,328
,Private room,Williamsburg,Private room in townhouse,1,,0,,,0
,Entire home/apt,Lower East Side,Entire rental unit,2,,1,0.07,2023-09-15,0
$155.00,Entire home/apt,Midtown,Entire rental unit,6,4.0,12,0.13,2024-06-30,176
,Private room,Greenwich Village,Private room in rental unit,1,,1,0.01,2017-08-31,0
,Entire home/apt,Fort Greene,Entire loft,6,,53,0.58,2020-03-15,358
$249.00,Entire home/apt,Bedford-Stuyvesant,Entire rental unit,4,2.0,95,1.04,2023-11-24,63
,Entire home/apt,Washington Heights,Entire condo,7,,6,0.07,2019-03-19,0
,Entire home/apt,Prospect Heights,Entire rental unit,2,,2,0.02,2017-04-11,0
,Private room,East Village,Private room in rental unit,1,,2,0.02,2017-05-29,0
,Private room,East Harlem,Private room in rental unit,2,,7,0.08,2017-10-31,0
,Private room,Upper West Side,Private room in rental unit,1,,18,0.2,2018-01-04,0
,Private room,Bedford-Stuyvesant,Private room in rental unit,2,,3,0.03,2017-07-01,0
,Entire home/apt,Bedford-Stuyvesant,Entire rental unit,2,,38,0.41,2020-03-15,0
,Private room,Chelsea,Private room in rental unit,2,,0,,,0
,Entire home/apt,Williamsburg,Entire rental unit,3,,7,0.08,2018-06-17,0
,Entire home/apt,Hell's Kitchen,Entire condo,7,,1,0.01,2017-05-03,0
,Private room,Park Slope,Private room in townhouse,2,,270,2.96,2023-11-26,0
,Private room,Washington Heights,Private room in rental unit,4,,2,0.02,2017-03-18,0
$150.00,Entire home/apt,Huguenot,Entire cottage,2,2.0,338,3.63,2023-10-08,244
$150.00,Entire home/apt,Upper West Side,Entire rental unit,3,2.0,14,0.16,2023-07-02,307
,Private room,Chelsea,Private room in rental unit,2,,11,0.12,2017-11-01,0
,Entire home/apt,Chelsea,Entire loft,3,,0,,,0
,Private room,Harlem,Private room in rental unit,2,,0,,,0
$169.00,Entire home/apt,Midtown,Entire rental unit,2,1.0,27,0.33,2024-09-23,115
,Entire home/apt,East Village,Entire rental unit,2,,8,0.09,2019-01-17,0
$220.00,Entire home/apt,Harlem,Entire rental unit,4,2.0,3,0.04,2019-06-05,358
,Entire home/apt,Upper East Side,Entire rental unit,3,,0,,,0
,Private room,Harlem,Private room in rental unit,2,,8,0.09,2018-01-03,0
,Private room,Upper East Side,Private room in rental unit,2,,3,0.03,2017-03-16,0
,Entire home/apt,Nolita,Entire rental unit,4,,0,,,0
$230.00,Private room,Midtown,Private room in condo,2,1.0,139,1.53,2024-10-30,64
$49.00,Private room,Bushwick,Private room in home,6,3.0,48,0.52,2024-08-31,365
,Private room,East Village,Private room in rental unit,2,,3,0.03,2017-06-09,0
$49.00,Private room,Bushwick,Private room in rental unit,6,4.0,50,0.54,2023-06-06,365
$49.00,Private room,Bushwick,Private room in home,2,1.0,15,0.16,2023-01-06,365
,Private room,Chelsea,Private room in rental unit,1,,1,0.01,2017-03-31,0
,Entire home/apt,Sunnyside,Entire rental unit,2,,21,0.23,2024-03-08,0
,Entire home/apt,Gowanus,Entire rental unit,2,,2,0.02,2017-09-17,0
,Entire home/apt,West Village,Entire rental unit,2,,11,0.12,2017-05-29,0
$120.00,Entire home/apt,Bay Ridge,Entire home,5,4.0,6,0.12,2022-08-30,53
$85.00,Entire home/apt,Coney Island,Entire rental unit,3,2.0,194,2.11,2024-10-12,180
,Private room,Brooklyn Heights,Private room in rental unit,2,,2,0.02,2017-03-27,0
,Entire home/apt,East Village,Entire rental unit,1,,33,0.37,2024-10-01,0
$66.00,Private room,Williamsburg,Private room in rental unit,2,1.0,255,2.75,2023-11-13,167
$125.00,Entire home/apt,Little Italy,Entire rental unit,2,1.0,10,0.11,2024-04-13,322
$140.00,Entire home/apt,Upper East Side,Entire rental unit,3,1.0,175,1.88,2024-10-31,277
$90.00,Entire home/apt,Crown Heights,Entire rental unit,2,1.0,66,0.71,2023-05-15,2
$77.00,Private room,Long Island City,Private room in rental unit,2,1.0,65,0.7,2024-08-12,136
,Private room,Long Island City,Private room in rental unit,2,,0,,,0
$75.00,Private room,East Elmhurst,Private room in home,2,1.0,665,7.17,2024-07-12,364
,Private room,Upper West Side,Private room in condo,2,,4,0.04,2017-08-15,0
,Private room,Williamsburg,Private room in rental unit,1,,14,0.15,2018-01-01,0
$196.00,Entire home/apt,Bedford-Stuyvesant,Entire rental unit,2,1.0,410,4.41,2024-10-17,60
,Private room,Harlem,Private room in rental unit,2,,0,,,0
,Entire home/apt,Prospect-Lefferts Gardens,Entire home,6,,18,0.2,2023-08-13,0
,Private room,Flatbush,Private room in rental unit,1,,0,,,0
,Entire home/apt,Chelsea,Entire rental unit,3,,7,0.08,2018-01-26,0
,Entire home/apt,Ditmars Steinway,Entire rental unit,5,,47,0.51,2019-10-25,0
,Entire home/apt,Bedford-Stuyvesant,Entire condo,2,,43,0.6,2024-08-18,0
$68.00,Private room,Wakefield,Private room in rental unit,2,1.0,15,0.18,2023-12-22,296
,Entire home/apt,Tribeca,Entire rental unit,5,,9,0.1,2017-05-28,0
$72.00,Private room,Upper East Side,Private room in rental unit,2,1.0,130,1.51,2024-08-03,358
$90.00,Private room,Flatbush,Private room in home,2,1.0,115,1.25,2023-11-12,365
,Entire home/apt,Flatbush,Entire rental unit,4,,6,0.15,2022-04-13,0
,Entire home/apt,Murray Hill,Entire rental unit,6,,2,0.02,2017-05-07,0
,Private room,East Village,Private room in rental unit,2,,25,0.27,2018-10-21,0
$187.00,Entire home/apt,Bedford-Stuyvesant,Entire home,2,2.0,102,1.11,2024-10-03,247
,Private room,Pelham Gardens,Private room in home,1,,12,0.16,2022-07-30,0
$190.00,Entire home/apt,Bath Beach,Entire rental unit,4,1.0,83,0.9,2024-10-26,159
,Entire home/apt,Hell's Kitchen,Entire rental unit,1,,7,0.08,2019-01-02,0
,Private room,Harlem,Private room in rental unit,2,,15,0.16,2018-11-04,0
$111.00,Private room,Williamsburg,Private room in rental unit,2,1.0,86,0.93,2024-06-30,287
,Private room,Chelsea,Private room in rental unit,2,,2,0.02,2017-04-02,0
,Private room,Ridgewood,Private room in rental unit,2,,1,0.01,2017-09-24,0
$62.00,Private room,Bedford-Stuyvesant,Private room in home,2,2.0,162,1.76,2023-01-02,352
$80.00,Private room,Stapleton,Private room in loft,5,3.0,204,2.22,2023-09-08,338
,Entire home/apt,Lower East Side,Entire rental unit,3,,18,0.21,2018-04-28,0
,Private room,East Harlem,Private room in rental unit,1,,1,0.01,2017-04-24,0
,Private room,Williamsburg,Private room in rental unit,1,,1,0.01,2017-04-30,0
,Entire home/apt,Hell's Kitchen,Entire rental unit,2,,1,0.01,2017-05-12,0
,Private room,Nolita,Private room in rental unit,2,,67,0.8,2020-03-09,0
,Private room,Astoria,Private room in rental unit,2,,13,0.14,2018-05-17,0
,Private room,Bushwick,Private room in rental unit,2,,4,0.05,2019-09-29,0
,Entire home/apt,Prospect Heights,Entire rental unit,4,,5,0.05,2018-10-25,0
$55.00,Private room,Jackson Heights,Private room in rental unit,2,1.0,123,1.33,2024-10-06,334
,Private room,Upper East Side,Private room in rental unit,1,,8,0.09,2018-06-16,0
,Entire home/apt,East Village,Entire rental unit,4,,0,,,0
$61.00,Private room,Inwood,Private room in rental unit,2,1.0,167,1.82,2023-10-18,135
,Private room,Prospect-Lefferts Gardens,Private room in rental unit,2,,0,,,0
,Entire home/apt,Midtown,Entire rental unit,2,,5,0.06,2018-09-02,0
,Entire home/apt,Williamsburg,Entire loft,2,,9,0.1,2017-09-27,0
,Private room,Flatbush,Private room in rental unit,2,,1,0.01,2017-05-01,0
$150.00,Entire home/apt,Clinton Hill,Entire rental unit,2,2.0,10,0.54,2023-10-22,173
,Entire home/apt,Harlem,Entire condo,4,,0,,,178
,Private room,South Slope,Private room in home,2,,18,0.2,2017-06-12,0
,Shared room,Chelsea,Shared room in loft,1,,0,,,0
$43.00,Private room,Pelham Gardens,Private room in home,2,1.0,52,0.58,2020-03-27,307
$425.00,Entire home/apt,Crown Heights,Entire home,5,2.0,20,0.23,2024-10-31,307
$140.00,Entire home/apt,Upper East Side,Entire rental unit,2,3.0,14,0.18,2023-08-16,139
$50.00,Private room,Bushwick,Private room in home,4,2.0,52,0.59,2023-10-15,153
$89.00,Entire home/apt,Coney Island,Entire rental unit,3,1.0,168,1.83,2024-04-16,179
,Private room,Harlem,Private room in rental unit,1,,8,0.11,2020-02-17,0
$139.00,Entire home/apt,Allerton,Entire home,6,8.0,166,1.8,2023-08-19,365
,Private room,Greenpoint,Private room in rental unit,2,,9,0.1,2020-01-12,0
,Private room,Crown Heights,Private room in home,1,,0,,,0
,Entire home/apt,Greenwich Village,Entire rental unit,2,,1,0.01,2017-05-13,0
$55.00,Private room,Maspeth,Private room in home,1,1.0,16,0.22,2024-08-07,158
$181.00,Entire home/apt,Tremont,Entire rental unit,3,1.0,51,0.55,2021-07-10,179
,Entire home/apt,Bedford-Stuyvesant,Entire rental unit,2,,64,0.71,2023-08-13,0
$73.00,Entire home/apt,Maspeth,Entire home,2,1.0,152,2.04,2024-08-31,332
$125.00,Entire home/apt,Hell's Kitchen,Entire rental unit,2,1.0,16,0.2,2024-10-18,309
,Entire home/apt,Park Slope,Entire home,6,,0,,,0
$456.00,Entire home/apt,West Village,Entire rental unit,4,2.0,54,0.59,2024-06-30,318
$94.00,Private room,Whitestone,Private room in townhouse,1,1.0,181,2.25,2024-09-20,331
,Private room,Stuyvesant Town,Private room in rental unit,1,,0,,,0
$122.00,Entire home/apt,East Village,Entire rental unit,1,1.0,38,0.42,2024-09-27,79
$350.00,Entire home/apt,SoHo,Entire rental unit,4,2.0,24,0.39,2024-08-20,126
,Private room,Glendale,Private room in home,2,,0,,,0
,Private room,Upper East Side,Private room in rental unit,2,,10,0.11,2017-09-02,0
,Private room,Bedford-Stuyvesant,Private room in rental unit,2,,15,0.16,2018-03-31,0
$179.00,Entire home/apt,Bedford-Stuyvesant,Entire condo,4,2.0,174,1.96,2023-12-04,361
,Private room,Bushwick,Private room in rental unit,2,,0,,,0
,Private room,Flushing,Private room in rental unit,4,,3,0.04,2019-02-20,0
$160.00,Entire home/apt,Bensonhurst,Entire condo,5,3.0,76,0.83,2023-09-24,365
,Private room,Inwood,Private room in rental unit,4,,1,0.01,2017-12-28,0
,Private room,Upper West Side,Private room in rental unit,2,,3,0.03,2017-09-26,0
$800.00,Entire home/apt,Upper West Side,Entire rental unit,8,3.0,0,,,363
$150.00,Private room,Edenwald,Private room in condo,2,1.0,55,0.6,2022-11-09,364
$95.00,Entire home/apt,Concourse,Entire home,5,2.0,27,1.2,2024-07-26,330
$71.00,Entire home/apt,Concourse,Entire townhouse,5,3.0,115,1.28,2024-10-18,249
,Private room,East Village,Private room in rental unit,2,,0,,,0
,Private room,East Village,Private room in rental unit,2,,0,,,0
,Entire home/apt,Upper West Side,Entire rental unit,2,,2,0.02,2018-01-02,0
,Entire home/apt,Upper West Side,Entire condo,2,,0,,,0
,Entire home/apt,Upper West Side,Entire rental unit,2,,6,0.23,2023-01-02,0
$230.00,Private room,Gowanus,Private room in loft,4,4.0,82,3.44,2024-11-01,224
,Private room,Financial District,Private room in rental unit,1,,12,0.13,2019-08-09,0
,Entire home/apt,Financial District,Entire rental unit,2,,3,0.03,2017-11-19,0
,Entire home/apt,Crown Heights,Entire rental unit,3,,115,1.26,2022-06-20,0
$127.00,Entire home/apt,Greenpoint,Entire rental unit,2,2.0,364,3.97,2024-11-02,57
,Private room,Bedford-Stuyvesant,Private room in rental unit,1,,2,0.02,2017-08-26,0
$475.00,Entire home/apt,Upper West Side,Entire rental unit,6,3.0,296,3.25,2024-10-19,179
$85.00,Private room,Bushwick,Private room in rental unit,1,1.0,15,0.16,2024-10-15,365
,Private room,Park Slope,Private room in home,2,,98,1.07,2020-02-23,0
,Entire home/apt,Lower East Side,Entire rental unit,4,,2,0.02,2017-05-03,0
$115.00,Entire home/apt,Upper East Side,Entire rental unit,3,1.0,16,0.19,2024-06-03,211
,Private room,Lower East Side,Private room in rental unit,2,,1,0.01,2017-05-21,0
,Entire home/apt,Williamsburg,Entire rental unit,2,,0,,,0
,Entire home/apt,Chelsea,Entire rental unit,2,,1,0.01,2017-08-12,0
,Private room,Crown Heights,Private room in rental unit,2,,17,0.19,2019-12-23,0
,Private room,Upper West Side,Private room in rental unit,1,,0,,,0
$67.00,Private room,Harlem,Private room in rental unit,2,1.0,48,0.52,2024-08-12,354
,Private room,Sunnyside,Private room in rental unit,3,,35,0.38,2018-09-11,0
,Entire home/apt,Upper East Side,Entire rental unit,5,,3,0.03,2017-06-11,0
"$2,857.00",Private room,Chelsea,Private room,16,1.0,0,,,89
,Private room,Bushwick,Private room in rental unit,3,,16,0.2,2020-01-02,0
,Private room,Roosevelt Island,Private room in rental unit,2,,112,1.22,2020-08-25,0
$65.00,Private room,Jamaica,Private room in rental unit,2,1.0,90,0.98,2023-07-31,365
$234.00,Entire home/apt,Williamsburg,Entire condo,5,3.0,10,0.42,2024-08-17,274
$99.00,Private room,Ozone Park,Private room in home,2,1.0,284,3.1,2024-10-25,69
,Entire home/apt,Upper West Side,Entire rental unit,1,,12,0.13,2017-11-26,0
,Entire home/apt,Upper West Side,Entire rental unit,3,,2,0.02,2017-08-04,0
,Private room,Edenwald,Private room in home,1,,0,,,0
,Private room,Bay Ridge,Private room in rental unit,1,,10,0.14,2020-03-01,0
$50.00,Private room,Harlem,Private room in rental unit,1,1.0,26,0.29,2024-05-31,82
$40.00,Private room,Crown Heights,Private room in rental unit,3,1.0,53,0.6,2024-08-04,102
$150.00,Entire home/apt,Greenpoint,Entire condo,1,2.0,30,0.33,2024-07-31,67
,Entire home/apt,Prospect-Lefferts Gardens,Entire rental unit,3,,2,0.02,2017-04-24,0
,Entire home/apt,Upper East Side,Entire rental unit,2,,0,,,0
,Entire home/apt,Cobble Hill,Entire rental unit,8,,18,0.22,2023-08-14,0
,Entire home/apt,Williamsburg,Entire rental unit,3,,0,,,0
,Private room,Bushwick,Private room in rental unit,2,,3,0.03,2018-06-04,0
,Private room,Bedford-Stuyvesant,Private room in rental unit,2,,129,1.41,2022-05-30,0
,Private room,Crown Heights,Private room in rental unit,1,,1,0.01,2017-10-08,0
$92.00,Private room,Bushwick,Private room in rental unit,1,1.0,34,1.11,2024-06-08,365
$199.00,Private room,Bedford-Stuyvesant,Private room in loft,3,1.0,79,0.86,2022-09-11,67
,Entire home/apt,Upper East Side,Entire rental unit,2,,2,0.02,2018-08-22,0
,Private room,South Slope,Private room in rental unit,2,,0,,,0
$105.00,Private room,East Harlem,Private room in rental unit,2,1.0,81,0.89,2023-10-29,180
$493.00,Entire home/apt,Bedford-Stuyvesant,Entire loft,4,2.0,62,0.68,2024-10-14,247
,Entire home/apt,Upper West Side,Entire rental unit,2,,2,0.02,2017-04-22,0
,Private room,Williamsburg,Private room in rental unit,2,,74,0.81,2022-11-08,0
,Entire home/apt,Harlem,Entire townhouse,6,,56,0.63,2022-04-16,0
$200.00,Entire home/apt,Boerum Hill,Entire rental unit,2,1.0,26,0.29,2023-12-28,35
,Entire home/apt,Prospect Heights,Entire rental unit,2,,14,0.15,2019-05-28,0
,Private room,Bedford-Stuyvesant,Private room in rental unit,4,,2,0.02,2017-04-30,0
,Private room,Williamsburg,Private room in rental unit,2,,0,,,0
,Private room,Morningside Heights,Private room in rental unit,2,,3,0.03,2017-06-29,0
$31.00,Shared room,Harlem,Shared room in rental unit,1,2.0,170,1.86,2024-01-16,138
,Entire home/apt,Ridgewood,Entire rental unit,3,,0,,,0
$170.00,Entire home/apt,Hell's Kitchen,Entire rental unit,5,2.0,7,0.08,2024-09-03,343
,Private room,Bedford-Stuyvesant,Private room in rental unit,2,,4,0.04,2017-08-07,0
,Entire home/apt,Bedford-Stuyvesant,Entire rental unit,2,,1,0.01,2018-10-03,0
,Entire home/apt,Hell's Kitchen,Entire rental unit,1,,0,,,0
,Private room,Crown Heights,Private room in rental unit,1,,11,0.13,2023-07-31,0
$257.00,Entire home/apt,Williamsburg,Entire rental unit,5,2.0,39,0.43,2021-08-15,247
,Private room,Williamsburg,Private room in rental unit,4,,22,0.24,2017-10-08,0
,Entire home/apt,Upper West Side,Entire rental unit,2,,11,0.12,2017-10-01,0
,Entire home/apt,Bedford-Stuyvesant,Entire rental unit,2,,13,0.14,2017-10-02,0
,Private room,Longwood,Private room in rental unit,2,,7,0.08,2019-09-02,0
,Private room,Upper West Side,Private room in rental unit,2,,2,0.02,2017-05-27,0
$289.00,Entire home/apt,Hell's Kitchen,Entire rental unit,4,1.0,0,,,307
,Entire home/apt,Harlem,Entire loft,4,,30,0.78,2023-10-29,363
,Entire home/apt,Upper West Side,Entire rental unit,7,,3,0.03,2017-07-13,0
$80.00,Entire home/apt,Flushing,Entire place,2,1.0,154,1.69,2024-10-14,339
,Private room,Harlem,Private room in rental unit,2,,1,0.01,2017-05-20,0
$208.00,Entire home/apt,Flushing,Entire rental unit,3,1.0,122,1.33,2023-09-04,362
$110.00,Private room,Clinton Hill,Private room in rental unit,1,1.0,30,0.33,2024-09-01,35
$200.00,Private room,Williamsburg,Private room in townhouse,2,1.0,132,1.5,2024-10-28,43
$130.00,Private room,Harlem,Private room in rental unit,2,1.0,17,0.19,2024-10-20,306
,Private room,Murray Hill,Private room in rental unit,2,,3,0.03,2017-08-17,0
,Entire home/apt,Harlem,Entire rental unit,4,,86,0.95,2019-09-22,93
$89.00,Entire home/apt,Coney Island,Entire rental unit,2,1.0,167,1.82,2023-09-05,180
$245.00,Entire home/apt,Clinton Hill,Entire guest suite,4,2.0,274,3.01,2024-10-23,188
,Entire home/apt,Inwood,Entire rental unit,2,,16,0.18,2018-01-03,0
,Entire home/apt,Hell's Kitchen,Entire rental unit,4,,0,,,0
$200.00,Entire home/apt,East Village,Entire rental unit,2,1.0,15,0.16,2024-07-31,150
,Private room,Upper West Side,Private room in rental unit,2,,0,,,0
,Private room,Harlem,Private room in hostel,2,,7,0.08,2023-12-21,353
,Entire home/apt,Red Hook,Entire rental unit,2,,26,0.29,2022-05-03,0
$42.00,Private room,Woodside,Private room in rental unit,1,1.0,2,0.03,2019-05-12,362
$725.00,Entire home/apt,SoHo,Entire loft,3,2.0,8,0.09,2020-02-16,345
,Private room,Brooklyn Heights,Private room in rental unit,2,,1,0.01,2017-05-29,0
$225.00,Private room,Hell's Kitchen,Private room in rental unit,2,1.0,69,0.76,2023-10-31,88
,Private room,Inwood,Private room in rental unit,2,,2,0.02,2017-05-20,0
$148.00,Private room,Canarsie,Private room in home,2,1.0,64,0.72,2024-10-21,359
,Private room,Bedford-Stuyvesant,Private room in rental unit,2,,3,0.03,2017-09-04,0
,Entire home/apt,Harlem,Entire rental unit,4,,108,1.18,2024-08-31,123
,Entire home/apt,Bedford-Stuyvesant,Entire rental unit,2,,6,0.07,2017-10-02,0
$149.00,Entire home/apt,Harlem,Entire rental unit,2,1.0,166,1.81,2024-07-23,278
,Private room,Sunset Park,Private room in rental unit,2,,7,0.08,2018-04-02,0
$106.00,Private room,Bedford-Stuyvesant,Private room in townhouse,2,1.0,47,0.51,2024-10-11,100
$36.00,Private room,Harlem,Private room in rental unit,1,1.0,12,0.14,2023-02-02,213
$140.00,Entire home/apt,South Slope,Entire rental unit,2,1.0,12,0.13,2020-03-08,148
,Private room,Ridgewood,Private room in rental unit,2,,29,0.32,2019-06-27,0
$96.00,Private room,Long Island City,Private room in rental unit,2,2.0,15,0.17,2021-11-27,362
,Private room,Williamsburg,Private room in rental unit,1,,5,0.05,2018-10-08,0
,Private room,Williamsburg,Private room in rental unit,1,,0,,,0
$90.00,Entire home/apt,Ridgewood,Entire rental unit,2,1.0,18,0.21,2024-10-03,137
,Entire home/apt,Williamsburg,Entire rental unit,2,,0,,,0
,Private room,East Harlem,Private room in rental unit,2,,1,0.01,2017-05-07,0
,Private room,East New York,Private room in rental unit,8,,59,0.65,2020-10-04,0
$365.00,Private room,Upper West Side,Private room in townhouse,2,3.0,198,2.16,2024-10-15,270
,Private room,Olinville,Private room in home,2,,6,0.08,2024-03-31,21
,Entire home/apt,Crown Heights,Entire rental unit,4,,1,0.01,2018-01-02,0
$100.00,Private room,Hell's Kitchen,Private room in rental unit,1,1.0,74,0.84,2024-01-01,199
,Private room,Fresh Meadows,Private room in home,2,,8,0.09,2017-09-01,0
,Private room,Williamsburg,Private room in rental unit,2,,0,,,0
,Private room,Civic Center,Private room in home,3,,0,,,0
,Private room,NoHo,Private room in rental unit,1,,25,0.27,2018-04-30,0
$44.00,Private room,Bedford-Stuyvesant,Private room in home,1,1.0,24,0.27,2024-10-06,90
$169.00,Entire home/apt,East Harlem,Entire rental unit,6,3.0,147,1.61,2023-06-30,220
,Entire home/apt,Carroll Gardens,Entire condo,6,,0,,,0
$115.00,Entire home/apt,Upper East Side,Entire rental unit,3,1.0,12,0.15,2024-06-04,337
,Private room,Inwood,Private room in rental unit,2,,14,0.15,2018-07-02,0
,Entire home/apt,East Harlem,Entire rental unit,3,,39,0.43,2019-05-27,0
,Private room,Bedford-Stuyvesant,Private room in rental unit,2,,8,0.09,2017-09-19,0
,Private room,Bedford-Stuyvesant,Private room in rental unit,2,,8,0.09,2018-07-29,0
$150.00,Entire home/apt,Prospect-Lefferts Gardens,Entire rental unit,4,2.0,137,1.51,2024-04-02,346
$346.00,Entire home/apt,Gowanus,Entire rental unit,4,3.0,161,1.78,2024-10-31,35
,Private room,Crown Heights,Private room in rental unit,2,,5,0.05,2017-08-26,0
,Entire home/apt,Prospect-Lefferts Gardens,Entire rental unit,4,,1,0.01,2017-07-01,0
$240.00,Entire home/apt,Hell's Kitchen,Entire rental unit,1,1.0,2,0.03,2020-03-31,365
,Entire home/apt,Boerum Hill,Entire rental unit,5,,7,0.08,2020-12-05,0
"$1,000.00",Entire home/apt,Sunset Park,Entire loft,16,1.0,5,0.06,2018-12-24,89
,Private room,Harlem,Private room in hostel,1,,15,0.17,2022-12-04,365
,Entire home/apt,Forest Hills,Entire rental unit,4,,21,0.23,2017-11-05,0
,Entire home/apt,Prospect Heights,Entire rental unit,8,,66,0.72,2020-01-01,0
$160.00,Entire home/apt,Park Slope,Entire townhouse,2,1.0,67,2.31,2024-09-12,154
$55.00,Private room,Washington Heights,Private room in rental unit,1,1.0,16,0.2,2024-10-05,186
,Entire home/apt,Harlem,Entire rental unit,2,,35,0.38,2020-01-05,0
$168.00,Entire home/apt,Upper West Side,Entire rental unit,2,1.0,0,,,359
,Entire home/apt,South Slope,Entire rental unit,2,,14,0.17,2024-09-05,6
$36.00,Private room,Harlem,Private room in rental unit,1,1.0,16,0.18,2023-10-28,0
,Private room,Williamsburg,Private room in rental unit,1,,6,0.07,2018-07-05,0
$228.00,Entire home/apt,Bushwick,Entire rental unit,5,4.0,235,2.6,2023-12-04,235
,Private room,Washington Heights,Private room in rental unit,2,,34,0.47,2024-05-01,1
$99.00,Entire home/apt,Financial District,Entire rental unit,1,1.0,13,0.15,2024-08-11,324
,Private room,Bushwick,Private room in loft,2,,0,,,0
$170.00,Entire home/apt,Hell's Kitchen,Entire rental unit,5,3.0,7,0.09,2024-06-01,321
$90.00,Entire home/apt,Crown Heights,Entire rental unit,2,1.0,91,1.0,2024-05-31,285
,Entire home/apt,Williamsburg,Entire rental unit,2,,40,0.44,2020-01-02,0
$228.00,Entire home/apt,Bushwick,Entire guest suite,2,3.0,149,1.64,2024-10-20,324
$294.00,Entire home/apt,DUMBO,Entire loft,2,1.0,9,0.14,2024-05-22,195
,Entire home/apt,East Village,Entire rental unit,4,,8,0.09,2018-08-21,0
,Private room,Bedford-Stuyvesant,Private room in rental unit,1,,4,0.04,2017-06-09,0
,Entire home/apt,Chelsea,Entire rental unit,2,,11,0.13,2019-10-01,0
,Private room,Morningside Heights,Private room in rental unit,1,,1,0.01,2017-05-23,0
$69.00,Private room,East Harlem,Private room in rental unit,2,1.0,6,0.07,2017-09-28,110
,Private room,Crown Heights,Private room in rental unit,2,,0,,,0
,Private room,Bushwick,Private room in rental unit,2,,8,0.09,2017-07-03,0
,Private room,Bushwick,Private room in rental unit,1,,0,,,0
$75.00,Entire home/apt,Jamaica,Entire guest suite,3,1.0,47,0.52,2022-07-06,365
$90.00,Private room,Bedford-Stuyvesant,Private room in home,1,1.0,47,0.61,2024-09-18,323
,Private room,Crown Heights,Private room in rental unit,2,,104,1.14,2019-03-29,0
$650.00,Entire home/apt,Hell's Kitchen,Entire condo,4,2.0,60,0.66,2022-07-06,365
$214.00,Entire home/apt,Williamsburg,Entire loft,2,1.0,51,0.56,2024-09-20,181
